global_step,episode,episode_return,episode_length,epsilon,loss,mean_q,makespan,avg_waiting_time,missed_deadlines,weighted_tardiness
4300,85,-0.85156,50,0.9864,,,66.362,2.9987,0.32,86.39
4350,86,-2.60283,50,0.9862,,,67.026,6.7286,0.62,258.56
4400,87,-2.60777,50,0.9861,,,70.88,7.362,0.68,241.98
4450,88,-0.07747,50,0.9859,,,71.012,1.6255,0.16,5.55
4500,89,-4.67097,50,0.9858,,,72.576,10.1873,0.74,487.9
4550,90,-0.34536,50,0.9856,,,71.602,2.2356,0.24,27.53
4600,91,-2.35222,50,0.9854,,,64.0,6.2249,0.5,237.46
4650,92,-2.2694,50,0.9853,,,73.293,6.7187,0.6,217.48
4700,93,-2.15027,50,0.9851,,,73.204,7.2584,0.5,171.71
4750,94,-5.11078,50,0.985,,,71.259,11.7486,0.82,516.98
4800,95,-0.77764,50,0.9848,,,65.532,2.5166,0.26,88.52
4850,96,-4.07995,50,0.9846,,,76.8,9.6046,0.64,412.15
4900,97,-5.90063,50,0.9845,,,74.287,11.7006,0.6,625.7
4950,98,-3.94975,50,0.9843,,,67.857,10.0049,0.78,384.1
5000,99,-3.89532,50,0.9842,,,67.2,8.8265,0.68,407.32
5050,100,-0.40435,50,0.984,,,67.532,2.0819,0.22,46.74
5100,101,-0.39275,50,0.9839,,,72.303,2.1051,0.14,38.61
5150,102,-0.88658,50,0.9837,,,78.399,3.4222,0.3,89.89
5200,103,-5.78774,50,0.9835,,,64.08,11.3205,0.78,632.69
5250,104,-0.85881,50,0.9834,,,73.66,4.2317,0.38,63.89
5300,105,-0.19473,50,0.9832,,,84.552,1.7652,0.1,16.1
5350,106,-3.48253,50,0.9831,,,66.733,8.9358,0.68,325.59
5400,107,-0.69389,50,0.9829,,,69.204,2.774,0.28,66.22
5450,108,-1.43116,50,0.9827,,,70.172,5.3208,0.52,123.09
5500,109,-3.47486,50,0.9826,,,68.131,8.7752,0.7,348.42
5550,110,-3.21852,50,0.9824,,,60.553,7.9116,0.72,316.96
5600,111,-2.59417,50,0.9823,,,70.406,7.4206,0.5,238.64
5650,112,-2.04243,50,0.9821,,,68.237,6.5216,0.5,178.2
5700,113,-2.59544,50,0.9819,,,70.365,7.7421,0.6,230.04
5750,114,-0.43169,50,0.9818,,,66.538,2.8248,0.24,32.68
5800,115,-3.7858,50,0.9816,,,72.0,10.1006,0.64,351.01
5850,116,-0.57487,50,0.9815,,,70.055,2.8916,0.24,52.67
5900,117,-3.89087,50,0.9813,,,68.14,9.0916,0.68,390.81
5950,118,0.07481,50,0.9812,,,70.402,0.9037,0.08,2.39
6000,119,-1.32264,50,0.981,,,69.476,5.0858,0.56,110.05
6050,120,-2.10061,50,0.9808,,,71.54,6.169,0.52,198.42
6100,121,-0.29661,50,0.9807,,,62.4,2.3096,0.24,25.61
6150,122,-1.19145,50,0.9805,,,74.003,3.9374,0.38,109.13
6200,123,-1.25991,50,0.9804,,,69.955,5.0863,0.46,93.61
6250,124,-1.45713,50,0.9802,,,60.397,4.8628,0.38,138.96
6300,125,-1.91909,50,0.98,,,68.808,5.2667,0.44,195.18
6350,126,-1.51895,50,0.9799,,,70.215,5.1553,0.42,139.11
6400,127,-1.80307,50,0.9797,,,72.352,5.6406,0.4,178.87
6450,128,-2.9997,50,0.9796,,,69.028,7.835,0.64,291.04
6500,129,-0.70486,50,0.9794,,,66.673,3.2834,0.3,59.18
6550,130,-0.99942,50,0.9793,,,72.192,4.0102,0.42,81.52
6600,131,-2.20248,50,0.9791,,,70.491,5.6268,0.5,234.41
6650,132,-1.80436,50,0.9789,,,69.015,5.4705,0.54,167.52
6700,133,-2.9709,50,0.9788,,,68.584,7.3462,0.58,304.31
6750,134,-0.04886,50,0.9786,,,67.427,1.185,0.16,19.24
6800,135,-0.06273,50,0.9785,,,67.436,1.5692,0.12,8.57
6850,136,-0.94635,50,0.9783,,,63.344,4.2682,0.4,69.9
6900,137,-1.86916,50,0.9781,,,67.162,5.8064,0.4,171.93
6950,138,-1.96485,50,0.978,,,64.362,5.7568,0.52,194.21
7000,139,-2.13408,50,0.9778,,,66.617,6.6527,0.48,191.35
7050,140,-1.19917,50,0.9777,,,72.337,4.4974,0.42,110.81
7100,141,-0.01501,50,0.9775,,,75.382,1.1549,0.04,2.22
7150,142,-2.35214,50,0.9774,,,72.99,6.4813,0.64,232.94
7200,143,-1.93381,50,0.9772,,,67.165,6.154,0.56,171.35
7250,144,-4.15946,50,0.977,,,78.025,9.2772,0.56,427.02
7300,145,-1.47532,50,0.9769,,,66.418,5.4182,0.4,123.49
7350,146,-1.56265,50,0.9767,,,72.202,4.9499,0.34,140.66
7400,147,-2.87389,50,0.9766,,,71.8,7.7976,0.6,267.24
7450,148,-1.25719,50,0.9764,,,65.323,4.7563,0.4,111.57
7500,149,-0.52051,50,0.9762,,,78.311,3.3353,0.26,27.24
7550,150,-0.30033,50,0.9761,,,73.327,2.1721,0.22,24.67
7600,151,-4.88463,50,0.9759,,,73.507,10.77,0.72,503.83
7650,152,-1.98858,50,0.9758,,,76.112,6.4294,0.64,165.31
7700,153,-0.82122,50,0.9756,,,70.148,4.0337,0.42,56.42
7750,154,-1.41552,50,0.9755,,,66.475,5.3324,0.48,112.71
7800,155,-5.08828,50,0.9753,,,68.866,9.8342,0.66,563.29
7850,156,-1.23826,50,0.9751,,,70.081,4.3725,0.4,111.49
7900,157,-2.04886,50,0.975,,,71.08,5.7795,0.48,201.31
7950,158,-1.48206,50,0.9748,,,79.514,5.0602,0.38,133.7
8000,159,-0.6758,50,0.9747,,,67.911,3.7823,0.28,46.28
8050,160,-2.7479,50,0.9745,,,73.185,7.6761,0.56,260.26
8100,161,-3.01072,50,0.9744,,,72.993,6.9817,0.56,314.51
8150,162,-1.40161,50,0.9742,,,64.323,5.3306,0.52,110.07
8200,163,-0.93753,50,0.974,,,72.612,3.5875,0.36,84.15
8250,164,-2.41987,50,0.9739,,,64.017,7.1479,0.48,225.07
8300,165,-0.17549,50,0.9737,,,69.972,1.6912,0.18,16.83
8350,166,-0.74124,50,0.9736,,,68.014,3.4791,0.3,59.85
8400,167,-0.29874,50,0.9734,,,75.925,1.3363,0.2,42.42
8450,168,-0.3997,50,0.9732,,,73.137,2.2241,0.16,38.4
8500,169,-0.49248,50,0.9731,,,70.804,2.9852,0.26,30.98
8550,170,-0.85955,50,0.9729,,,71.892,3.6175,0.36,66.63
8600,171,-0.81693,50,0.9728,,,66.78,3.1709,0.34,76.86
