global_step,episode,episode_return,episode_length,epsilon,loss,mean_q,makespan,avg_waiting_time,missed_deadlines,weighted_tardiness
4300,85,-0.62399,50,0.9864,,,73.947,2.6496,0.28,68.52
4350,86,-1.67036,50,0.9862,,,71.515,4.8328,0.28,165.89
4400,87,-1.29642,50,0.9861,,,70.263,4.2112,0.32,122.3
4450,88,-3.98934,50,0.9859,,,70.0,8.6868,0.54,420.89
4500,89,-1.57374,50,0.9858,,,68.604,5.0468,0.48,144.39
4550,90,-1.0893,50,0.9856,,,58.259,3.1171,0.34,125.6
4600,91,-1.72524,50,0.9854,,,75.0,4.5058,0.34,183.07
4650,92,-6.49278,50,0.9853,,,71.0,11.2126,0.64,745.4
4700,93,-1.88586,50,0.9851,,,67.058,4.862,0.44,196.09
4750,94,-5.83289,50,0.985,,,73.811,13.3367,0.68,578.42
4800,95,-4.13728,50,0.9848,,,74.731,9.1705,0.6,427.45
4850,96,-1.5002,50,0.9846,,,72.098,4.1377,0.3,166.57
4900,97,-5.03666,50,0.9845,,,72.5,10.2623,0.6,530.15
4950,98,-5.16725,50,0.9843,,,67.244,11.4524,0.78,520.15
5000,99,-2.23429,50,0.9842,,,65.701,5.446,0.48,236.07
5050,100,-1.22239,50,0.984,,,65.996,3.5117,0.28,143.23
5100,101,-0.8833,50,0.9839,,,78.989,2.8325,0.22,86.37
5150,102,-1.11362,50,0.9837,,,67.513,3.7555,0.38,105.28
5200,103,-4.21963,50,0.9835,,,68.509,8.9399,0.52,445.25
5250,104,-2.18312,50,0.9834,,,71.599,5.5041,0.46,226.43
5300,105,-2.42865,50,0.9832,,,58.295,5.2137,0.46,282.56
5350,106,-2.28275,50,0.9831,,,69.071,5.3476,0.46,250.77
5400,107,-4.03406,50,0.9829,,,75.052,8.6918,0.56,421.47
5450,108,-1.07505,50,0.9827,,,64.786,3.8354,0.26,103.97
5500,109,-3.27305,50,0.9826,,,72.807,7.1067,0.52,350.62
5550,110,-2.54307,50,0.9824,,,72.801,4.4929,0.36,315.98
5600,111,-2.29377,50,0.9823,,,65.07,5.2682,0.48,245.39
5650,112,-1.99017,50,0.9821,,,71.982,5.4259,0.34,196.45
5700,113,0.0678,50,0.9819,,,67.197,0.6096,0.08,3.83
