global_step,episode,episode_return,episode_length,epsilon,loss,mean_q,makespan,avg_waiting_time,missed_deadlines,weighted_tardiness
4300,85,-0.95411,50,0.9864,,,66.978,2.9016,0.3,104.3
4350,86,-4.96724,50,0.9862,,,66.556,7.9841,0.58,582.33
4400,87,-3.13413,50,0.9861,,,66.0,7.6204,0.58,318.06
4450,88,-0.25872,50,0.9859,,,72.512,1.894,0.16,25.32
4500,89,-7.10187,50,0.9858,,,70.218,11.8177,0.72,813.52
4550,90,-0.84224,50,0.9856,,,71.91,2.9825,0.22,83.61
4600,91,-3.67645,50,0.9854,,,68.11,6.9349,0.48,415.55
4650,92,-3.62974,50,0.9853,,,70.364,7.1783,0.54,411.81
4700,93,-4.11489,50,0.9851,,,77.894,8.4019,0.52,434.76
4750,94,-7.92158,50,0.985,,,68.488,13.442,0.72,898.15
4800,95,-0.97725,50,0.9848,,,68.16,2.6132,0.3,114.69
4850,96,-5.12924,50,0.9846,,,77.062,11.1829,0.66,530.38
4900,97,-5.93506,50,0.9845,,,72.962,11.9835,0.62,625.09
4950,98,-4.89637,50,0.9843,,,68.75,10.7789,0.72,505.97
5000,99,-4.47356,50,0.9842,,,69.113,9.589,0.6,474.38
5050,100,-1.01444,50,0.984,,,69.16,2.4051,0.28,129.16
5100,101,-1.3215,50,0.9839,,,69.803,2.8343,0.16,162.15
5150,102,-0.88073,50,0.9837,,,78.868,3.4328,0.24,88.58
5200,103,-7.64565,50,0.9835,,,63.176,12.3318,0.82,886.73
5250,104,-2.07214,50,0.9834,,,73.092,5.4102,0.42,216.63
5300,105,-0.30689,50,0.9832,,,85.542,1.8761,0.12,31.2
5350,106,-3.74874,50,0.9831,,,64.733,9.071,0.58,363.64
5400,107,-0.71312,50,0.9829,,,68.001,2.8771,0.24,68.16
5450,108,-2.9094,50,0.9827,,,67.0,6.8447,0.46,308.96
5500,109,-5.08911,50,0.9826,,,65.57,8.9661,0.64,587.97
5550,110,-4.13758,50,0.9824,,,63.75,8.4681,0.58,438.96
5600,111,-3.90908,50,0.9823,,,71.441,7.7558,0.44,426.9
5650,112,-4.1747,50,0.9821,,,68.806,7.791,0.6,465.65
5700,113,-4.21428,50,0.9819,,,68.334,8.8008,0.58,448.67
5750,114,-0.98521,50,0.9818,,,67.012,3.4962,0.26,98.57
5800,115,-4.08791,50,0.9816,,,73.0,10.1163,0.58,395.25
5850,116,-0.57954,50,0.9815,,,74.605,3.0274,0.18,46.91
5900,117,-5.24738,50,0.9813,,,71.085,10.1575,0.64,566.18
5950,118,-0.11153,50,0.9812,,,73.723,1.1046,0.1,23.17
6000,119,-1.73192,50,0.981,,,69.024,5.3078,0.48,166.25
6050,120,-3.1852,50,0.9808,,,71.54,6.5038,0.46,353.04
6100,121,-0.37394,50,0.9807,,,62.44,2.3017,0.22,37.47
6150,122,-1.64307,50,0.9805,,,71.503,4.009,0.32,176.85
6200,123,-2.48775,50,0.9804,,,67.412,6.1658,0.5,252.73
6250,124,-2.75718,50,0.9802,,,61.262,5.6913,0.42,312.29
6300,125,-2.34014,50,0.98,,,71.523,5.4469,0.36,252.48
6350,126,-4.15581,50,0.9799,,,70.093,6.8137,0.4,493.96
6400,127,-3.70226,50,0.9797,,,75.067,6.5193,0.34,440.31
6450,128,-4.21842,50,0.9796,,,67.028,8.5053,0.56,458.52
6500,129,-1.23545,50,0.9794,,,64.62,4.1709,0.36,118.17
6550,130,-1.69012,50,0.9793,,,72.192,4.8747,0.42,163.58
6600,131,-3.20494,50,0.9791,,,68.919,6.1351,0.54,373.27
6650,132,-3.09827,50,0.9789,,,70.145,6.703,0.5,330.26
6700,133,-3.16025,50,0.9788,,,68.584,7.7319,0.56,323.13
6750,134,-0.04726,50,0.9786,,,63.751,1.1786,0.16,21.67
6800,135,-0.09497,50,0.9785,,,67.646,1.6558,0.12,11.44
6850,136,-2.79542,50,0.9783,,,63.511,5.6648,0.44,312.86
6900,137,-3.62592,50,0.9781,,,68.987,7.3805,0.5,395.1
6950,138,-3.01938,50,0.978,,,67.772,6.726,0.42,325.87
7000,139,-3.93228,50,0.9778,,,65.347,8.0651,0.6,426.89
7050,140,-2.41547,50,0.9777,,,68.8,4.9434,0.44,284.39
7100,141,-0.01648,50,0.9775,,,77.633,1.1914,0.04,0.93
7150,142,-3.32121,50,0.9774,,,73.714,7.259,0.5,358.31
7200,143,-2.86068,50,0.9772,,,68.351,6.4075,0.46,303.27
7250,144,-5.01957,50,0.977,,,79.775,9.7284,0.54,544.31
7300,145,-2.53783,50,0.9769,,,65.313,5.5957,0.34,279.48
7350,146,-2.25887,50,0.9767,,,72.42,5.0886,0.4,241.44
7400,147,-3.03078,50,0.9766,,,69.191,7.5469,0.54,298.98
7450,148,-2.95576,50,0.9764,,,66.737,6.2289,0.54,328.84
7500,149,-1.23162,50,0.9762,,,78.016,3.8457,0.26,121.41
7550,150,-0.59342,50,0.9761,,,71.64,2.5408,0.24,61.32
7600,151,-6.06622,50,0.9759,,,72.637,11.9846,0.68,651.35
7650,152,-3.19054,50,0.9758,,,75.984,7.63,0.5,315.78
7700,153,-1.63922,50,0.9756,,,67.611,4.9769,0.42,157.4
7750,154,-2.18264,50,0.9755,,,66.501,5.9565,0.48,212.03
7800,155,-6.76957,50,0.9753,,,72.0,10.8975,0.66,786.8
7850,156,-1.90852,50,0.9751,,,70.057,5.3101,0.46,189.01
7900,157,-2.35957,50,0.975,,,74.102,5.5986,0.4,250.66
7950,158,-2.47327,50,0.9748,,,76.893,5.9227,0.38,262.68
8000,159,-2.23579,50,0.9747,,,66.859,5.032,0.36,250.09
8050,160,-3.47822,50,0.9745,,,71.489,8.4274,0.62,352.29
8100,161,-4.39289,50,0.9744,,,74.801,8.3347,0.48,486.9
8150,162,-2.57252,50,0.9742,,,66.264,6.1533,0.42,263.97
8200,163,-1.70572,50,0.974,,,72.851,3.9733,0.36,190.18
8250,164,-4.56415,50,0.9739,,,66.823,8.1299,0.56,520.2
8300,165,-0.72835,50,0.9737,,,69.972,2.3248,0.24,84.38
8350,166,-1.12275,50,0.9736,,,71.88,3.8669,0.36,104.3
8400,167,-0.3838,50,0.9734,,,75.605,1.657,0.24,49.02
8450,168,-0.78115,50,0.9732,,,73.137,2.7579,0.24,82.74
8500,169,-1.06786,50,0.9731,,,72.042,3.7794,0.26,96.94
8550,170,-1.34692,50,0.9729,,,73.695,4.1364,0.3,125.67
8600,171,-1.49092,50,0.9728,,,66.381,3.1947,0.24,178.1
8650,172,-3.96045,50,0.9726,,,71.661,7.9455,0.62,436.75
8700,173,-0.28681,50,0.9725,,,66.315,2.0636,0.18,28.16
8750,174,-1.5003,50,0.9723,,,72.131,3.835,0.36,169.17
8800,175,-3.01059,50,0.9721,,,71.92,7.6051,0.48,299.85
8850,176,-4.40144,50,0.972,,,66.925,7.8719,0.52,498.43
8900,177,-4.87969,50,0.9718,,,72.402,11.4337,0.66,477.2
8950,178,-1.40654,50,0.9717,,,61.37,3.7633,0.32,152.83
9000,179,-3.13279,50,0.9715,,,62.953,6.9718,0.48,336.75
9050,180,-3.22647,50,0.9713,,,73.329,7.652,0.5,327.32
