global_step,episode,episode_return,episode_length,epsilon,loss,mean_q,makespan,avg_waiting_time,missed_deadlines,weighted_tardiness
50,0,-4.74161,50,0.9998,,,66.701,9.1477,0.54,528.4
100,1,-2.43468,50,0.9997,,,86.819,4.9642,0.34,275.9
150,2,-1.99731,50,0.9995,,,66.493,4.7807,0.42,215.89
200,3,-3.46074,50,0.9994,,,70.125,6.2208,0.44,400.57
250,4,-2.70875,50,0.9992,,,73.75,6.6713,0.48,276.21
300,5,-2.57302,50,0.999,,,65.911,6.1579,0.48,267.48
350,6,-3.08414,50,0.9989,,,68.519,7.1174,0.5,322.79
400,7,-4.25212,50,0.9987,,,72.272,8.9176,0.54,447.68
450,8,-1.06676,50,0.9986,,,62.636,3.3682,0.38,113.42
500,9,-4.3993,50,0.9984,,,74.839,9.1306,0.44,470.86
550,10,-3.4581,50,0.9983,,,74.643,8.449,0.44,340.24
600,11,-4.08593,50,0.9981,,,70.778,8.7517,0.58,432.1
650,12,-5.07029,50,0.9979,,,69.003,8.4127,0.48,590.94
700,13,-2.96345,50,0.9978,,,60.119,6.6888,0.56,316.01
750,14,-5.88852,50,0.9976,,,66.14,9.1546,0.56,702.72
800,15,-3.34391,50,0.9975,,,65.0,7.7691,0.6,348.89
850,16,-4.90104,50,0.9973,,,72.408,9.4946,0.62,546.03
900,17,-2.79029,50,0.9971,,,66.142,6.2321,0.52,305.6
950,18,-3.01701,50,0.997,,,65.0,6.4329,0.54,333.98
1000,19,-2.38808,50,0.9968,,,72.019,5.9874,0.48,244.53
1050,20,-3.17682,50,0.9967,,,68.808,6.6374,0.4,346.17
1100,21,-4.07692,50,0.9965,,,64.699,7.0151,0.46,476.8
1150,22,-2.63399,50,0.9964,,,71.559,6.1276,0.38,278.08
1200,23,-3.10789,50,0.9962,,,74.432,6.8223,0.42,327.87
1250,24,-4.30419,50,0.996,,,81.72,8.9182,0.52,452.39
1300,25,-0.34529,50,0.9959,,,60.963,1.4592,0.16,52.52
1350,26,-2.26147,50,0.9957,,,65.023,5.9757,0.52,223.52
1400,27,-4.05557,50,0.9956,,,80.177,8.6239,0.46,429.31
1450,28,-2.96435,50,0.9954,,,61.463,7.3275,0.58,310.45
1500,29,-2.59614,50,0.9952,,,70.845,6.1983,0.46,262.06
1550,30,-5.77425,50,0.9951,,,79.127,11.4833,0.64,610.56
1600,31,-3.71632,50,0.9949,,,72.999,7.7003,0.52,395.03
1650,32,-3.14641,50,0.9948,,,70.84,7.8617,0.5,309.98
1700,33,-1.45694,50,0.9946,,,67.025,4.6346,0.4,136.07
1750,34,-0.2986,50,0.9945,,,69.65,1.7486,0.14,34.72
1800,35,-1.36992,50,0.9943,,,69.676,4.445,0.4,127.82
1850,36,-4.05044,50,0.9941,,,76.25,8.7178,0.56,431.82
1900,37,-7.99435,50,0.994,,,72.5,12.7974,0.68,921.74
1950,38,-1.70755,50,0.9938,,,68.848,4.9972,0.4,167.21
2000,39,-2.67895,50,0.9937,,,79.879,5.5238,0.38,291.08
2050,40,-3.80216,50,0.9935,,,74.225,8.928,0.48,377.21
2100,41,-3.04101,50,0.9933,,,72.907,6.6025,0.42,329.85
2150,42,-0.91921,50,0.9932,,,74.374,3.4981,0.32,85.97
2200,43,-0.4649,50,0.993,,,68.756,2.0957,0.16,54.55
2250,44,-2.30349,50,0.9929,,,66.728,5.6566,0.44,241.13
2300,45,-4.80169,50,0.9927,,,74.873,10.2616,0.56,506.08
2350,46,-0.52508,50,0.9926,,,66.051,2.5145,0.2,47.43
2400,47,-4.32076,50,0.9924,,,69.588,9.826,0.54,438.72
2450,48,-3.57437,50,0.9922,,,67.257,8.3821,0.52,360.39
2500,49,-3.41119,50,0.9921,,,66.707,8.1206,0.44,344.43
2550,50,-3.08484,50,0.9919,,,73.75,7.5288,0.58,310.11
2600,51,-4.89898,50,0.9918,,,69.0,8.0632,0.56,570.55
2650,52,-4.05386,50,0.9916,,,67.423,8.8121,0.5,433.26
2700,53,-4.26362,50,0.9915,,,67.956,9.1148,0.64,446.97
2750,54,0.06945,50,0.9913,,,69.49,0.5428,0.02,1.36
