global_step,episode,episode_return,episode_length,epsilon,loss,mean_q,makespan,avg_waiting_time,missed_deadlines,weighted_tardiness
4300,85,-1.68009,50,0.9864,,,67.432,5.3044,0.5,150.19
4350,86,-3.96303,50,0.9862,,,78.622,10.4264,0.7,365.58
4400,87,-2.29317,50,0.9861,,,71.805,6.7357,0.52,213.39
4450,88,-2.30086,50,0.9859,,,61.824,6.7283,0.56,217.63
4500,89,-1.20112,50,0.9858,,,68.103,3.9144,0.38,118.37
4550,90,-0.04786,50,0.9856,,,74.113,0.6486,0.06,18.4
4600,91,-1.68983,50,0.9854,,,73.091,5.7079,0.5,146.79
4650,92,-0.72683,50,0.9853,,,63.314,3.9281,0.34,52.87
4700,93,-2.2076,50,0.9851,,,68.636,6.6841,0.52,202.6
4750,94,-2.59541,50,0.985,,,63.371,7.0441,0.56,248.4
4800,95,-0.67015,50,0.9848,,,69.623,2.9066,0.32,59.64
4850,96,-1.2736,50,0.9846,,,68.206,5.045,0.36,105.85
4900,97,-3.17458,50,0.9845,,,63.951,7.8991,0.58,317.92
4950,98,-4.84443,50,0.9843,,,60.922,9.9159,0.7,521.8
5000,99,-1.44773,50,0.9842,,,60.117,4.6267,0.48,146.7
5050,100,-0.59748,50,0.984,,,65.6,3.4921,0.28,43.55
5100,101,-3.35348,50,0.9839,,,76.551,8.6022,0.48,321.37
5150,102,-2.16467,50,0.9837,,,67.158,6.8873,0.56,189.76
5200,103,-3.6218,50,0.9835,,,75.525,8.405,0.62,376.37
5250,104,-3.07726,50,0.9834,,,68.188,8.1347,0.62,289.84
5300,105,-1.98851,50,0.9832,,,60.847,5.8584,0.56,193.33
5350,106,-0.54222,50,0.9831,,,73.551,2.959,0.28,40.86
5400,107,-1.43746,50,0.9829,,,75.547,5.1284,0.46,125.46
5450,108,-3.77902,50,0.9827,,,72.137,9.3303,0.54,378.73
5500,109,-2.06675,50,0.9826,,,69.165,5.6904,0.4,201.27
5550,110,-3.00999,50,0.9824,,,66.726,8.0363,0.6,287.63
5600,111,-2.74388,50,0.9823,,,60.669,7.738,0.58,251.56
5650,112,-2.83608,50,0.9821,,,65.097,7.0791,0.6,296.09
5700,113,-4.72164,50,0.9819,,,75.197,11.3951,0.7,455.39
5750,114,-1.15167,50,0.9818,,,68.491,4.4659,0.52,94.98
5800,115,-0.71688,50,0.9816,,,74.463,2.5796,0.3,70.47
5850,116,-0.39305,50,0.9815,,,68.559,2.3025,0.28,40.72
5900,117,-3.38614,50,0.9813,,,69.33,8.8794,0.62,319.53
5950,118,-0.95832,50,0.9812,,,68.247,4.2066,0.36,74.25
6000,119,-0.82236,50,0.981,,,66.4,3.8,0.38,64.44
6050,120,-2.3578,50,0.9808,,,66.726,7.3355,0.62,204.14
6100,121,-3.20645,50,0.9807,,,71.903,7.9392,0.56,322.29
6150,122,-1.4364,50,0.9805,,,71.175,5.1521,0.46,130.86
6200,123,-1.2493,50,0.9804,,,78.425,4.9856,0.32,92.5
6250,124,-2.56931,50,0.9802,,,63.051,6.2811,0.54,272.03
6300,125,-2.00372,50,0.98,,,68.535,5.2473,0.42,205.98
6350,126,-1.98408,50,0.9799,,,65.396,5.5752,0.52,191.91
6400,127,-1.05892,50,0.9797,,,64.213,3.659,0.4,104.78
6450,128,-3.63083,50,0.9796,,,69.712,9.6194,0.62,344.13
6500,129,-2.7535,50,0.9794,,,70.961,7.6771,0.6,253.68
6550,130,-4.48563,50,0.9793,,,76.212,11.2927,0.74,421.72
6600,131,-2.22821,50,0.9791,,,73.271,6.5823,0.48,210.91
6650,132,-0.63367,50,0.9789,,,71.147,3.0885,0.34,53.17
6700,133,-0.68722,50,0.9788,,,66.198,3.711,0.26,49.1
6750,134,-2.42142,50,0.9786,,,65.075,7.0896,0.54,226.52
6800,135,-0.57436,50,0.9785,,,77.617,2.8964,0.22,50.71
6850,136,-3.17719,50,0.9783,,,74.398,7.6913,0.64,320.56
6900,137,-1.6195,50,0.9781,,,64.639,4.9543,0.52,155.94
6950,138,-2.92252,50,0.978,,,70.458,5.829,0.46,332.07
7000,139,-2.03825,50,0.9778,,,70.156,6.5369,0.44,177.92
7050,140,-0.7,50,0.9777,,,65.154,2.7599,0.36,62.98
7100,141,-2.68958,50,0.9775,,,77.137,7.0954,0.54,263.31
7150,142,-0.53578,50,0.9774,,,72.286,3.1404,0.34,33.8
7200,143,-0.19779,50,0.9772,,,71.261,2.307,0.16,9.62
7250,144,-3.85541,50,0.977,,,64.29,9.0001,0.66,395.22
7300,145,-1.51811,50,0.9769,,,71.249,4.3531,0.42,154.16
7350,146,-1.04245,50,0.9767,,,63.707,3.9743,0.4,89.2
7400,147,-1.33066,50,0.9766,,,64.629,4.8092,0.46,119.11
7450,148,-2.59461,50,0.9764,,,65.6,8.1056,0.64,227.63
7500,149,-0.65084,50,0.9762,,,69.552,3.7906,0.32,36.51
7550,150,-1.1935,50,0.9761,,,62.859,4.8381,0.46,97.76
7600,151,-0.97737,50,0.9759,,,68.374,3.9332,0.42,88.2
7650,152,-2.83383,50,0.9758,,,70.309,7.5633,0.6,272.72
7700,153,-1.51368,50,0.9756,,,73.097,5.1574,0.44,134.66
7750,154,-0.83057,50,0.9755,,,76.104,3.5695,0.34,68.53
7800,155,-5.47695,50,0.9753,,,72.07,10.8786,0.76,593.43
7850,156,-0.08284,50,0.9751,,,68.354,1.7827,0.18,8.36
7900,157,-2.83851,50,0.975,,,68.051,7.387,0.58,276.36
7950,158,-0.31235,50,0.9748,,,63.523,2.0887,0.26,29.55
8000,159,-4.28845,50,0.9747,,,69.406,9.7927,0.7,439.58
8050,160,-0.68712,50,0.9745,,,71.047,3.5918,0.32,54.85
8100,161,0.04184,50,0.9744,,,69.954,1.0885,0.06,6.09
8150,162,-3.71156,50,0.9742,,,72.236,10.5408,0.7,328.77
8200,163,-0.11248,50,0.974,,,70.858,1.9766,0.1,7.63
8250,164,-3.57733,50,0.9739,,,69.907,8.139,0.6,371.03
8300,165,-0.99244,50,0.9737,,,71.349,3.9882,0.26,80.65
8350,166,-0.67169,50,0.9736,,,75.898,3.5209,0.28,56.86
8400,167,-0.88337,50,0.9734,,,67.06,4.0488,0.32,63.64
8450,168,-1.80514,50,0.9732,,,66.787,5.9028,0.58,158.19
8500,169,-1.54466,50,0.9731,,,70.865,5.4782,0.4,138.86
8550,170,-0.51514,50,0.9729,,,70.022,2.6142,0.22,52.09
8600,171,-0.60462,50,0.9728,,,61.181,2.9,0.26,58.12
8650,172,-3.08582,50,0.9726,,,69.086,8.6579,0.6,284.97
8700,173,-1.24453,50,0.9725,,,69.735,4.4182,0.4,114.25
8750,174,-2.37683,50,0.9723,,,67.268,6.4295,0.58,231.9
8800,175,-0.06206,50,0.9721,,,65.288,1.5189,0.18,19.19
8850,176,-0.47815,50,0.972,,,70.941,2.3113,0.24,46.37
8900,177,-2.07209,50,0.9718,,,62.326,5.725,0.58,209.37
8950,178,-1.89696,50,0.9717,,,68.49,5.9062,0.5,174.58
9000,179,-0.20475,50,0.9715,,,66.478,1.5041,0.16,29.91
9050,180,-2.43723,50,0.9713,,,63.496,7.0099,0.62,236.46
9100,181,-0.39425,50,0.9712,,,66.326,2.4574,0.32,31.81
9150,182,-2.17422,50,0.971,,,72.977,5.2315,0.46,222.12
9200,183,-0.37715,50,0.9709,,,64.208,2.3563,0.2,37.38
9250,184,-2.49294,50,0.9707,,,64.307,7.3418,0.48,225.25
9300,185,-2.04207,50,0.9706,,,66.178,5.7664,0.46,191.7
9350,186,-0.87366,50,0.9704,,,77.135,3.6546,0.34,68.69
9400,187,-0.80959,50,0.9702,,,64.866,3.1385,0.34,82.35
9450,188,-0.96414,50,0.9701,,,66.564,3.7323,0.34,90.22
9500,189,-1.96693,50,0.9699,,,65.268,5.5414,0.56,191.41
9550,190,-0.59972,50,0.9698,,,65.408,3.5707,0.3,49.22
